Underlyin,Maturity,LAST,LX,Net 1hn,AS,BS,Impl Vol,Open.Int,Theo 0rice,Volume,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,LAST,LX,Net 1hn,AS,BS,Impl Vol,Open.Int,Theo 0rice,Volume
1698.9,1,, ,,27.00,27.00,,,423.92,,422.70,1,424.50,1,,1275.00,0.00,1,0.05,1,0.05,1,,9300.00,0.00,1.22,1400.00,0.03,1400.00
1698.9,1,, ,,27.00,27.00,,,398.92,,397.70,1,399.50,1,,1300.00,0.00,1,0.05,1,0.05,1,,8550.00,0.00,1.14,2000.00,0.03,2000.00
1698.9,1,, ,,27.00,27.00,,,373.92,,372.70,1,374.50,1,,1325.00,0.00,1,0.05,1,, ,,7590.00,0.00,1.06,,0.03,
1698.9,1,353.92,1,66.17,27.00,27.00,,30.00,348.92,30.00,347.70,1,349.50,1,,1350.00,0.00,1,0.05,1,0.05,1,0.00,7010.00,0.00,0.99,2600.00,0.03,2560.00
1698.9,1,, ,,27.00,27.00,,,338.92,,337.70,1,339.50,1,,1360.00,0.00,1,0.05,1,0.05,1,0.00,6100.00,0.00,0.96,6710.00,0.03,5000.00
1698.9,1,, ,,27.00,27.00,,,328.92,,327.70,1,329.50,1,,1370.00,0.00,1,0.05,1,0.05,1,0.00,4772.00,0.00,0.93,2458.00,0.03,878.00
1698.9,1,, ,,27.00,27.00,,,323.92,,322.70,1,324.50,1,,1375.00,0.00,1,0.05,1,0.05,1,0.00,5320.00,0.00,0.91,1962.00,0.03,520.00
1698.9,1,, ,,27.00,27.00,,,318.92,,317.70,1,319.50,1,,1380.00,0.00,1,0.05,1,, ,,2650.00,0.00,0.90,,0.03,
1698.9,1,, ,,27.00,27.00,,,308.92,,307.70,1,309.50,1,,1390.00,0.00,1,0.05,1,0.10,1,0.00,5710.00,0.00,0.87,1555.00,0.03,555.00
1698.9,1,, ,,27.00,38.00,,,298.92,,297.60,1,299.50,1,,1400.00,0.00,1,0.05,1,0.05,1,-0.05,8068.00,0.00,0.84,8499.00,0.03,830.00
1698.9,1,, ,,27.00,38.00,,,288.92,,287.60,1,289.50,1,,1410.00,0.00,1,0.05,1,0.05,1,-0.20,6443.00,0.00,0.81,2257.00,0.02,2157.00
1698.9,1,, ,,27.00,38.00,,,283.92,,282.60,1,284.50,1,,1415.00,0.00,1,0.05,1,0.05,1,-0.10,3080.00,0.00,0.80,655.00,0.03,550.00
1698.9,1,, ,,27.00,38.00,,,278.92,,277.60,1,279.50,1,,1420.00,0.00,1,0.05,1,0.05,1,-0.10,4900.00,0.00,0.78,1119.00,0.03,119.00
1698.9,1,, ,,27.00,38.00,,,273.92,,272.60,1,274.50,1,,1425.00,0.00,1,0.05,1,0.05,1,-0.05,7913.00,0.00,0.77,6927.00,0.03,2447.00
1698.9,1,, ,,27.00,38.00,,,268.92,,267.60,1,269.50,1,,1430.00,0.00,1,0.05,1,0.20,1,,2310.00,0.00,0.76,310.00,0.03,310.00
1698.9,1,, ,,27.00,38.00,,,263.92,,262.60,1,264.50,1,,1435.00,0.00,1,0.05,1,0.05,1,,5903.00,0.00,0.74,4217.00,0.03,4217.00
1698.9,1,, ,,27.00,38.00,,,258.92,,257.60,1,259.50,1,,1440.00,0.00,1,0.05,1,0.05,1,-0.15,5533.00,0.00,0.73,7962.00,0.03,7847.00
1698.9,1,, ,,27.00,38.00,,,253.92,,252.60,1,254.50,1,,1445.00,0.00,1,0.05,1,0.05,1,0.00,5095.00,0.00,0.71,2765.00,0.03,2005.00
